Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
amlodipine / olmesartan medoxomil,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,
amlodipine / olmesartan medoxomil / hydrochlorothiazide,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant. Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,,
amlodipine / telmisartan,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,
amlodipine / valsartan,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,
ammonium chloride,A,,Respiratory System,Expectorants and mucolytics,
amobarbital,C,"Barbiturates can give rise to hypotension, respiratory depression and hypothermia in the newborn infant. Continuous treatment during pregnancy and administration during labour should be avoided.",Central Nervous System,Hypnotics and sedatives,Barbiturates
amorolfine,B3,,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",
amoxicillin,A,,Antimicrobials,Antibiotics,Penicillins
amphotericin,B3,,Antimicrobials,Antifungal agents (see also topical antifungals),
amphotericin B (liposomal)                                         ,B3,,Antimicrobials,Antifungal agents (see also topical antifungals),
ampicillin,A,,Antimicrobials,Antibiotics,Penicillins
amprenavir,B3,,Antimicrobials,Antiviral agents,
amsacrine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
amylobarbitone (amobarbital),C,"Barbiturates can give rise to hypotension, respiratory depression and hypothermia in the newborn infant. Continuous treatment during pregnancy and administration during labour should be avoided.",Central Nervous System,Hypnotics and sedatives,Barbiturates
anacaulase-bcdb ,B1,,Dermatology,Topical  debridement drug,Proteolytic enzyme enriched in bromelain
anagrelide,B3,,Antineoplastic Agents,,
anakinra,B1,,Allergy and Immune System,Immunomodifiers,
anastrozole,C,This drug disrupts oestrogen dependant metabolism and may result in abortion.,Antineoplastic Agents,Hormonal antineoplastic agents,
ancestim,B2,,Blood and Haemopoietic System,Haemopoietic agents,
andexanet alfa,B2,,"Detoxifying Agents, Antidotes",,
anecortave,B1,,Ophthalmic Drugs,,
anidulafungin,B3,,Antimicrobials,Antifungal agents (see also topical antifungals),
anifrolumab,C,A higher risk of certain viral infections could theoretically occur in (human) infants exposed to anifrolumab during the later stage of the gestational period.,Allergy and Immune System,Immunomodifiers,
anistreplase,C,,Cardiovascular System,Fibrinolytic agents,
antithrombin III,C,,Cardiovascular System,Haemostatic agents,
anti-thymocyte immunoglobulin,C,,Allergy and Immune System,Immunomodifiers,
apalutamide,D,"Based on its mechanism of action, it may cause fetal harm when administered during pregnancy.",Antineoplastic Agents,Hormonal antineoplastic agents,
apixaban,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
apomorphine,B3,,Central Nervous System,Antiparkinson agents,
apraclonidine,B3,,Ophthalmic Drugs,,
apremilast,B3,,Allergy and Immune System,Immunomodifiers,
aprepitant,B1,,Antineoplastic Agents,Non-cytotoxic supportive therapy,
aprotinin,B1,,Cardiovascular System,Haemostatic agents,
argipressin,B2,,Endocrine System,Antidiuretics,
aripiprazole,C,"There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates. These complications have varied in severity. While in some cases symptoms have been self-limited, in other cases neonates have required intensive care unit support and prolonged hospitalization. Aripiprazole should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.",Central Nervous System,Antipsychotic drugs,
armodafinil,D,This drug is embryotoxic and fetotoxic when administered to pregnant rats and rabbits.,Central Nervous System,CNS stimulants,
arsenic trioxide,X,"In hamsters, rats and mice, parenteral administration of arsenite during the period of organogenesis produced fetal malformations, including neural tube, eye, facial, genitourinary and skeletal defects. Arsenite treatment of mice during gestation has also produced a widespread tumourigenic response in offspring.",Antineoplastic Agents,,
artemether with lumefantine,D,"Artemisinins are known to be embryotoxic in animals, causing cardiovascular and skeletal malformations. Based on evidence from animal studies, artemether is suspected to cause serious birth defects when administered during the first trimester of pregnancy. ",Antimicrobials,Antimalarials,
articaine,B3,,Drugs Used in Anaesthesia,Local anaesthetics,
articaine / adrenaline,B3,,Drugs Used in Anaesthesia,Local anaesthetics,
asciminib hydrochloride,D,"Asciminib may cause fetal harm when administered to a pregnant woman. In treated pregnant rats and rabbits, administration of asciminib during organogenesis induced embryotoxicity, fetotoxicity and teratogenicity.",Antineoplastic Agents,Tyrosine kinase inhibitors,
asenapine,C,"There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates. These complications have varied in severity. While in some cases symptoms have been self-limited, in other cases neonates have required intensive care unit support and prolonged hospitalization. Asenapine should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.",Central Nervous System,Antipsychotic drugs,
asfotase alfa (rch),C,There is a potential effect on embryofetal and neonate bone development with the production of antibodies against asfotase alfa.,Metabolism,Agents used for the treatment of metabolic disorders,
asparaginase,D,"Cytotoxicity from asparaginase activity poses a risk for spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
aspirin,C,"Aspirin inhibits prostaglandin synthesis. When given late in pregnancy, it may cause premature closure of the fetal ductus arteriosus, delay labour and birth. Aspirin increases the bleeding time both in the newborn infant and in the mother because of its antiplatelet effects. Products containing aspirin should be avoided in the last trimester. Low-dose aspirin (100mg/day) does not affect bleeding time.",Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),
aspirin / dipyridamole,C,"Aspirin inhibits prostaglandin synthesis. When given late in pregnancy, it may cause premature closure of the fetal ductus arteriosus, delay labour and birth. Aspirin increases the bleeding time both in the newborn infant and in the mother because of its antiplatelet effects. Products containing aspirin should be avoided in the last trimester. Low-dose aspirin (100mg/day) does not affect bleeding time.",Cardiovascular System,Vasodilators,
asunaprevir,B1,,Antimicrobials,Antiviral agents,
atazanavir,B2,,Antimicrobials,Antiviral agents,
atazanavir / cobicistat,B2,,Antimicrobials,Antiviral agents,
atenolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
atezolizumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
atomoxetine,B3,,Central Nervous System,CNS stimulants,
atorvastatin,D,"Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,Hypolipidaemic agents,
atorvastatin / ezetimibe,D,"Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,Hypolipidaemic agents,
atovaquone,B2,,Antimicrobials,Antibiotics,
atracurium,C,There have been no demonstrated adverse effects in the fetus or the newborn infant.,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
atropine,A,,Alimentary System,Antispasmodics,
atropine,A,,Cholinergic and Anticholinergic Agents,,
atropine methonitrate,B2,,Cholinergic and Anticholinergic Agents,,
auranofin,B3,,Musculoskeletal System,Antirheumatoid agents,
aurothioglucose,B2,,Musculoskeletal System,Antirheumatoid agents,
avacopan,D,"Oral administration of avacopan to pregnant hamsters during the period of organogenesis caused an increased incidence of skeletal variations in the absence of maternal toxicity, while in rabbits an increase in the number of abortions was observed at subclinical maternal exposures. ",Allergy and Immune System,Immunomodifiers,
avalglucosidase alfa,B1,,Metabolism,Agents used for the treatment of metabolic disorders,
avatrombopag maleate,B3,,Blood and Haemopoietic System,,
avelumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
axicabtagene ciloleucel                                                  ,C,"Based on the mechanism of action, if the transduced cells cross the placenta, they may cause fetal toxicity, including B-cell lymphocytopaenia.",Antineoplastic Agents,,
axitinib,D,Angiogenesis plays a key role in embryo-fetal development.VEGF receptor inhibitors inhibit angiogenesis and may cause fetal harm when administered to pregnant women.,Antineoplastic Agents,Tyrosine kinase inhibitors,
azacitidine,X,Azacitidine must not be used during pregnancy. There are no adequate data on the use of azacitidine in pregnant women. Studies in animals have shown reproductive toxicity including teratogenic effects at relatively low doses. Azacitidine also had adverse effects on embryofetal development following treatment of male rats.,Antineoplastic Agents,Antimetabolites,
azatadine,B2,,Allergy and Immune System,Antihistamines,
azathioprine,D,"This drug has been associated with a slightly increased risk of fetal malformations, neonatal immunosuppression and bone marrow suppression in the infant.",Allergy and Immune System,Immunomodifiers,
azelaic acid,B1,,Drugs used in Dermatology,Topical,
azelastine,B3,,Allergy and Immune System,Antihistamines,
azelastine hydrochloride / fluticasone propionate,B3,,Allergy and Immune System,,
azithromycin,B1,,Antimicrobials,Antibiotics,Macrolide antibiotics
azlocillin,B3,,Antimicrobials,Antibiotics,Penicillins
aztreonam,B1,,Antimicrobials,Antibiotics,
baclofen,B3,,Musculoskeletal System,Muscle relaxants,
baloxavir,B3,,Antimicrobials,antiviral agents,
balsalazide,C,"Non-steroidal anti-inflammatory drugs inhibit prostaglandin synthesis and, when given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth. Continuous treatment with non-steroidal anti-inflammatory drugs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Alimentary System,Antidiarrhoeals,
baricitinib,D,"Based on the mechanism of action, baricitinib is suspected to affect early embryonic development when administered during pregnancy. Baricitinib has been shown to cause embryofetal lethality and fetal malformations in pregnant rats or rabbits.",Musculoskeletal System,Antirheumatoid agents,
basiliximab,D,This drug has potentially hazardous pharmacological effects based on its immunosuppressive action. ,Allergy and Immune System,Immunomodifiers,
BCG (Mycobacterium bovis),B2,,Vaccines,Live attenuated vaccines,
becaplermin,B2,,Drugs used in Dermatology,Topical,
beclometasone,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Endocrine System,Corticosteroids,Inhalation/intranasal
beclomethasone,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
belantamab mafodotin,D,"Based on the mechanism of action of the cytotoxic component monomethyl auristatin F, belantamab mafodotin can cause embryo-fetal harm when administered to a pregnant woman. The cytotoxic component kills rapidly dividing cells, which would affect a developing embryo. There is also a potential risk of heritable changes via aneuploidy in female germ cells.",Antineoplastic Agents,Monoclonal antibodies,
belatacept,C,,Allergy and Immune System,Immunomodifiers,
belimumab,C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Allergy and Immune System,Immunomodifiers,
belladonna,B2,,Cholinergic and Anticholinergic Agents,,
belzutifan,D,"Based on findings in animal studies, belzutifan may cause fetal harm, including fetal loss - administration of belzutifan to pregnant rats during organogenesis caused embryo-fetal lethality, reduced fetal body weight and fetal skeletal abnormalities.",Antineoplastic Agents,,
bendamustine hydrochloride,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
bendrofluazide,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
benralizumab,B1,,Allergy and Immune System,Immunomodifiers,
benserazide,B3,,Central Nervous System,Antiparkinson agents,
benserazide / levodopa,B3,,Central Nervous System,Antiparkinson agents,
benzathine penicillin,A,,Antimicrobials,Antibiotics,Penicillins
benzatropine,B2,,Central Nervous System,Antiparkinson agents,
benzhexol (trihexyphenidyl),B1,,Central Nervous System,Antiparkinson agents,
benzoyl peroxide / adapalene,D,"There have been isolated reports of birth defects in babies born to women using this drug. Because of the potential risk of adverse effects on fetal development, adapalene should not be used by women who are pregnant or who plan to become pregnant during treatment.",,,
benzoyl peroxide / clindamycin,A,,Antimicrobials,Topical antimicrobials,
benzydamine (topical oropharyngeal),B2,,Mouth Preparations,,
benzyl benzoate,B2,,Drugs used in Dermatology,Topical antiparasitics,
benzylpenicillin,A,,Antimicrobials,Antibiotics,Penicillins
betahistine,B2,,Cardiovascular System,Vasodilators,
betamethasone acetate / betamethasone,C,,Endocrine System,Corticosteroids,
betamethasone dipropionate,B3,,Endocrine System,Corticosteroids,
betamethasone dipropionate / calcipotriol,B3,,Drugs Used in Dermatology,Topical,
betamethasone valerate,B3,,Endocrine System,Corticosteroids,
betaxolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
betaxolol (ophthalmic),C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
bethanechol,B2,This drug has a potent excitatory effect on smooth muscle and should be avoided during pregnancy.,Cholinergic and Anticholinergic Agents,,
bethanechol,B2,Bethanechol has a potent excitatory effect on smooth muscle and should be avoided during pregnancy.,Genitourinary System,Bladder function disorders,
bevacizumab,D,"IgG antibodies are known to cross the placental barrier, and this drug may inhibit angiogenesis in the fetus. Angiogenesis has been shown to be critically important to fetal development.",Antineoplastic Agents,Monoclonal antibodies,
bevantolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
bezlotoxumab,B2,,Allergy and Immune System,Immunomodifiers,
bicalutamide,D,Oral administration of this drug to rats in late gestation and during lactation caused feminisation of the male offspring.,Antineoplastic Agents,Hormonal antineoplastic agents,
bictegravir/emtricitabine/tenofovir alafenamide,B3,,Antimicrobials,Antiviral agents,
bifonazole,B3,,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",
bilastine,B3,,Allergy and Immune System,Antihistamines,
bimatoprost,B3,,Ophthalmic Drugs,,
bimatoprost / timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
bimekizumab,C,"Based on the mechanism of action of bimekizumab, the theoretical risk that use during pregnancy may affect neonatal immunity cannot be excluded.",Allergy and Immune System,Immunomodifiers,
binimetinib,D,"Based on results from animal studies, binimetinib may harm the foetus. Binimetinib should not be administered during pregnancy unless the benefits for the mother clearly outweigh the risks for the fetus.",Antineoplastic Agents,,
bioallethrin,B2,,Drugs used in Dermatology,Topical antiparasitics,
biperiden,B2,,Central Nervous System,Antiparkinson agents,
bisacodyl,A,,Alimentary System,Laxatives,
bismuth subcitrate,B2,,Alimentary System,"Hyperacidity, reflux, ulcers",
bisoprolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
bivalirudin,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
